name,price,socket,form_factor,max_memory,memory_slots,color,ddr_type,consumo
Asus PRIME B650-PLUS WIFI,159.99,AM5,ATX,192,4,Black / Silver,DDR5,40
MSI B650 GAMING PLUS WIFI,169.99,AM5,ATX,192,4,Black,DDR5,40
MSI MAG B650 TOMAHAWK WIFI,189.42,AM5,ATX,256,4,Black,DDR5,40
Gigabyte X870E AORUS ELITE WIFI7,325.31,AM5,ATX,256,4,Black,DDR5,40
Asus PRIME B550M-A WIFI II,99.99,AM4,Micro ATX,128,4,Blue / Silver,DDR4,40
Gigabyte B650 EAGLE AX,157.99,AM5,ATX,192,4,Gray / Black,DDR5,40
Asus TUF GAMING B850-PLUS WIFI,217.99,AM5,ATX,192,4,Black / Silver,DDR5,40
ASRock B650M Pro RS WiFi,139.99,AM5,Micro ATX,256,4,Black / Silver,DDR5,40
MSI MAG X870 TOMAHAWK WIFI,269.99,AM5,ATX,256,4,Black,DDR5,40
Gigabyte A520M K V2,68.47,AM4,Micro ATX,64,2,Brown / Black,DDR4,40
Asus B650E MAX GAMING WIFI W,149.99,AM5,ATX,256,4,White,DDR5,40
MSI PRO B650-S WIFI,135.99,AM5,ATX,192,4,Black,DDR5,40
Gigabyte B550M K,99.99,AM4,Micro ATX,128,4,Brown / Silver,DDR4,40
ASRock B850I Lightning WiFi,253.44,AM5,Mini ITX,128,2,Black,DDR5,40
MSI B760 GAMING PLUS WIFI,169.99,LGA1700,ATX,192,4,Black / Silver,DDR5,70
MSI PRO B550M-VC WIFI,99.99,AM4,Micro ATX,128,4,Black,DDR4,40
MSI PRO Z790-A MAX WIFI,220,LGA1700,ATX,192,4,Silver / Black,DDR5,70
Asus TUF GAMING B650-PLUS WIFI,159.99,AM5,ATX,128,4,Black,DDR5,40
Gigabyte X870 EAGLE WIFI7,229.99,AM5,ATX,256,4,Black,DDR5,40
Gigabyte X870 AORUS ELITE WIFI7 ICE,299.99,AM5,ATX,256,4,White,DDR5,40
MSI B550M PRO-VDH WIFI,109.99,AM4,Micro ATX,128,4,Black,DDR4,40
Asus ROG STRIX X870E-E GAMING WIFI,478.01,AM5,ATX,192,4,Black,DDR5,40
ASRock B850M-X WiFi R2.0,129.99,AM5,Micro ATX,128,2,Black / White,DDR5,40
Gigabyte B850 EAGLE WIFI6E,179.99,AM5,ATX,256,4,Gray / Black,DDR5,40
MSI MAG B850 TOMAHAWK MAX WIFI,219.99,AM5,ATX,256,4,Black / Green,DDR5,40
Gigabyte B760M GAMING PLUS WIFI DDR4,139.49,LGA1700,Micro ATX,128,4,Black / Silver,DDR5,70
Asus ROG STRIX B650-A GAMING WIFI,164.95,AM5,ATX,192,4,Black / Silver,DDR5,40
Gigabyte B650M GAMING PLUS WIFI,159.94,AM5,Micro ATX,192,4,Silver / Black,DDR5,40
MSI MAG B550 TOMAHAWK MAX WIFI,169.99,AM4,ATX,128,4,Silver / Black,DDR4,40
Gigabyte B850 AORUS ELITE WIFI7,232.67,AM5,ATX,256,4,Black,DDR5,40
Gigabyte B650 GAMING X AX V2,184.49,AM5,ATX,192,4,Gray / Black,DDR5,40
Asus ROG STRIX X870-A GAMING WIFI,318.99,AM5,ATX,192,4,White,DDR5,40
ASRock A620I LIGHTNING WIFI,159.99,AM5,Mini ITX,96,2,Black,DDR5,40
Asus TUF GAMING B550-PLUS WIFI II,148.99,AM4,ATX,128,4,Black / Gray,DDR4,40
Asus TUF GAMING B650-E WIFI,199.99,AM5,ATX,192,4,Black / Orange,DDR5,40
Gigabyte Z790 EAGLE AX,169.99,LGA1700,ATX,192,4,Gray / Black,DDR5,70
MSI B450M-A PRO MAX II,97.09,AM4,Micro ATX,64,2,Black,DDR4,40
MSI PRO B650M-P,149.99,AM5,Micro ATX,192,4,Black / Silver,DDR5,40
ASRock B450M/ac R2.0,74.99,AM4,Micro ATX,128,4,Black / Silver,DDR4,40
Asus TUF GAMING B850M-PLUS WIFI,219.99,AM5,Micro ATX,192,4,Black,DDR5,40
ASRock B450M-HDV R4.0,69.98,AM4,Micro ATX,64,2,Black / White,DDR4,40
Gigabyte B850 AORUS ELITE WIFI7 ICE,239.99,AM5,ATX,256,4,White / Silver,DDR5,40
MSI PRO B760M-P DDR4,99.99,LGA1700,Micro ATX,128,4,Black,DDR5,70
